     1.40   -112.2341982
     1.50   -112.5779408
     1.55   -112.7071687
     1.60   -112.8136293
     1.65   -112.9007731
     1.70   -112.9715318
     1.75   -113.0283974
     1.80   -113.0734909
     1.85   -113.1086185
     1.90   -113.1353202
     1.95   -113.1549097
     2.00   -113.1685091
     2.05   -113.1770770
     2.10   -113.1814333
     2.11   -113.1818628
     2.12   -113.1821572
     2.13   -113.1823216
     2.14   -113.1823607
     2.15   -113.1822791
     2.20   -113.1802140
     2.25   -113.1757509
     2.30   -113.1693283
     2.35   -113.1613207
     2.40   -113.1520475
     2.50   -113.1307526
     2.60   -113.1071650
     2.70   -113.0825172
     2.80   -113.0576791
     2.90   -113.0332540
     3.00   -113.0096493
     3.10   -112.9871306
     3.20   -112.9658613
     3.30   -112.9459329
     3.40   -112.9273863
     3.50   -112.9102277
     3.60   -112.8944400
     3.70   -112.8799901
     3.80   -112.8668342
     3.90   -112.8549208
     4.00   -112.8441924
     5.00   -112.7716949
     7.00   -112.7259397
     8.00   -112.7269457
    10.00   -112.7268725
