  0.140000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  0.140860860861E+01 -0.368057414313E-12  0.180475478713E-11 -0.714320119787E-11  0.205842277520E-10 -0.508961490448E-10  0.110344920714E-09 -0.216124508881E-09  0.389764050777E-09 -0.654429448702E-09  0.103368818265E-08 -0.154651769488E-08  0.220389140527E-08 -0.300386319434E-08  0.392996974907E-08 -0.494978690672E-08
  0.141721721722E+01  0.105335513159E-12 -0.691666828725E-12  0.227774046795E-11 -0.709044123185E-11  0.180760965498E-10 -0.409145546740E-10  0.843117558900E-10 -0.161661859193E-09  0.294200329674E-09 -0.513826986630E-09  0.868809255390E-09 -0.143223924935E-08  0.231494396283E-08 -0.368284154749E-08  0.578078676122E-08
  0.142582582583E+01  0.365909032014E-12 -0.208951872317E-11  0.763619282990E-11 -0.227921179260E-10  0.575708545866E-10 -0.128809642099E-09  0.262448621795E-09 -0.497235523192E-09  0.890718154625E-09 -0.152724009581E-08  0.252956389672E-08 -0.407886531900E-08  0.644265265718E-08 -0.100157137567E-07  0.153753416540E-07
  0.143443443443E+01 -0.335826753225E-12  0.135808631597E-11 -0.549183107612E-11  0.149892829458E-10 -0.347543059958E-10  0.678693328967E-10 -0.112872725949E-09  0.155553135570E-09 -0.151690837965E-09  0.575474760079E-11  0.463745140902E-09 -0.157093002058E-08  0.382447782059E-08 -0.800586106833E-08  0.152706252766E-07
  0.144304304304E+01 -0.633005583380E-12  0.263009291407E-11 -0.998286112107E-11  0.264239703227E-10 -0.594899409765E-10  0.111071765422E-09 -0.169412227364E-09  0.190874472909E-09 -0.623829766196E-10 -0.446922845516E-09  0.176210228633E-08 -0.460201248012E-08  0.101126677048E-07 -0.200341909599E-07  0.369158684355E-07
  0.145165165165E+01  0.419874825591E-12 -0.305336754331E-11  0.127303258185E-10 -0.430860434317E-10  0.121207453343E-09 -0.306633676567E-09  0.716824044974E-09 -0.156825215805E-08  0.325032256099E-08 -0.642995819639E-08  0.122039498029E-07 -0.223055577376E-07  0.393823671810E-07 -0.673588111271E-07  0.111904654790E-06
  0.146026026026E+01  0.165841304415E-11 -0.965348883800E-11  0.395946769600E-10 -0.126775660803E-09  0.346463831236E-09 -0.849676571934E-09  0.192318974968E-08 -0.408211755099E-08  0.822206520686E-08 -0.158452550018E-07  0.293757727199E-07 -0.525892811228E-07  0.911788697834E-07 -0.153495137304E-06  0.251493219058E-06
  0.146886886887E+01  0.180249259532E-11 -0.107516954609E-10  0.461258998234E-10 -0.155901970223E-09  0.456762936999E-09 -0.120376773495E-08  0.291562610738E-08 -0.657911147949E-08  0.139730843777E-07 -0.281507665340E-07  0.541044237833E-07 -0.996507134499E-07  0.176563814141E-06 -0.302024586375E-06  0.500443912636E-06
  0.147747747748E+01  0.243666346423E-11 -0.150714222555E-10  0.662599544306E-10 -0.237220826779E-09  0.740065850579E-09 -0.206379026952E-08  0.523509527613E-08 -0.122541182087E-07  0.267715901772E-07 -0.550834171724E-07  0.107489979037E-06 -0.200068879290E-06  0.356896959347E-06 -0.612840093527E-06  0.101701235023E-05
