     1.40   -112.1713130   -111.8077871
     1.50   -112.5110023   -112.1418029
     1.55   -112.6406726   -112.2690406
     1.60   -112.7484584   -112.3747729
     1.65   -112.8981846   -112.4989807
     1.70   -112.9699019   -112.5727709
     1.75   -113.0271352   -112.6361858
     1.80   -113.0723845   -112.6894922
     1.85   -113.1075702   -112.7337134
     1.90   -113.1342802   -112.7699647
     1.95   -113.1538520   -112.7993054
     2.00   -113.1674204   -112.8226975
     2.05   -113.1759515   -112.8409980
     2.10   -113.1802694   -112.8549621
     2.11   -113.1806913   -112.8572943
     2.12   -113.1809782   -112.8594847
     2.13   -113.1811351   -112.8615380
     2.14   -113.1811668   -112.8634588
     2.15   -113.1810780   -112.8652516
     2.20   -113.1789785   -112.8724441
     2.25   -113.1744848   -112.8770418
     2.30   -113.1680358   -112.8794803
     2.35   -113.1600062   -112.8801365
     2.40   -113.1507155   -112.8793349
     2.50   -113.1293986   -112.8744330
     2.60   -113.1058053   -112.8665472
     2.70   -113.0811672   -112.8569454
     2.80   -113.0563540   -112.8465113
     2.90   -113.0319680   -112.8358451
     3.00   -113.0084141   -112.8253480
     3.10   -112.9859526   -112.8152926
     3.20   -112.9647398   -112.8058782
     3.30   -112.9448582   -112.7972728
     3.40   -112.9263418   -112.7896366
     3.50   -112.9091942   -112.7831235
     3.60   -112.8934013   -112.7778493
     3.70   -112.8789377   -112.7738436
     3.80   -112.8657681   -112.7710198
     3.90   -112.8538476   -112.7691938
     4.00   -112.8431232   -112.7681371
     4.10   -112.7890063   -112.7627339
     4.20   -112.7845032   -112.7631400
     4.30   -112.7812508   -112.7636166
     4.40   -112.7788256   -112.7641063
     4.50   -112.7769824   -112.7645778
     4.60   -112.7755579   -112.7650144
     4.70   -112.7744386   -112.7654080
     4.80   -112.7735447   -112.7657561
     4.90   -112.7728190   -112.7660594
     5.00   -112.7722207   -112.7663204
     5.20   -112.7712950   -112.7667306
     5.40   -112.7706124   -112.7670185
     5.60   -112.7700870   -112.7672141
     5.80   -112.7696691   -112.7673424
     6.00   -112.7693286   -112.7674230
     6.50   -112.7687062   -112.7675013
     7.00   -112.7682978   -112.7675005
     7.50   -112.7236789   -112.7231144
     8.00   -112.7257975   -112.7253981
    10.00   -112.7261177   -112.7260002
